area,perimeter,solidity,eccentricity,erythema_index,necrosis_index,color_variance,Actual_Label,Predicted_Label,Is_Correct
26642.0,1629.804219975856,0.6839875741316013,0.8849332997193837,130.7379608154297,122.35774230957033,31.85271892389968,1,1,True
22779.0,980.0620125646252,0.8332967515364355,0.8069190465225015,139.33863830566406,189.5935211181641,37.98023825328882,0,0,True
21395.0,1224.364573775317,0.7354761086283946,0.93873857202662,145.32949829101562,135.9628143310547,38.934539570952914,0,0,True
18743.0,968.3929650063131,0.8431019747199856,0.940482600732312,140.77781677246094,175.4849853515625,37.04664346996392,0,0,True
26860.0,3750.009593653489,0.5206334438177201,0.7581865818840547,132.01821899414062,170.13058471679688,28.382539815676303,1,0,False
4459.0,501.21424945612296,0.6356379187455452,0.9550640026224488,130.99855041503906,137.72088623046875,30.3566837104399,1,1,True
17536.0,1633.6681810065347,0.5340317324968785,0.9125293259828448,135.39401245117188,116.71176147460938,36.42003316610898,1,1,True
23729.0,941.3513344459708,0.8713325744501157,0.92997767684581,137.64144897460938,130.63385009765625,35.29011334289782,0,0,True
21417.0,1773.7930726875627,0.5626132870990622,0.8616262691676634,135.34786987304688,140.72598266601562,49.42604919971957,1,1,True
33382.0,1115.245778748699,0.9285932849314308,0.8061172522224395,140.94961547851562,163.9976806640625,26.10764475221402,0,0,True
8790.0,681.002092041053,0.6060815003792319,0.9186228531026264,132.77926635742188,127.26506042480467,38.95682191456195,1,1,True
30538.0,1730.36666581637,0.6211834584324973,0.8359308647543914,138.1324005126953,103.7786102294922,42.22529700374099,1,1,True
18582.0,989.428498912246,0.5356895756457565,0.8785899057571859,132.9982147216797,137.8533935546875,36.89548778020836,1,1,True
4866.0,711.3990616607231,0.6036471901749163,0.8980030482639223,128.81932067871094,118.70779418945312,45.00895598266536,1,1,True
21969.0,2385.245958217448,0.6142254033047222,0.8606788847557906,143.52528381347656,98.91612243652344,27.317653885991056,0,0,True
28307.0,2462.1576464628797,0.7440986278323958,0.6600746465319849,156.31427001953125,141.3552703857422,58.51689057373583,1,1,True
26328.0,1990.1179284748405,0.4017333984375,0.4971462605601937,125.87265014648438,135.05455017089844,18.75983210205527,1,1,True
15369.0,2394.92719908458,0.7325897325897326,0.9431801312092608,140.91075134277344,152.46926879882812,33.03611420389573,0,0,True
11531.0,780.0275246792191,0.8146813621591069,0.7314438103111204,126.31207275390624,113.48834228515624,25.74606076720272,1,1,True
34601.0,2173.747437513864,0.6647007972336951,0.7673878120588902,140.58737182617188,161.55345153808594,31.42467533501027,1,0,False
3708.0,331.09545442950497,0.8269402319357716,0.9234610817470964,125.657470703125,123.9091796875,34.49064387865851,1,1,True
14567.0,886.0081886954629,0.8967618813100222,0.973597363361264,139.69126892089844,165.55050659179688,33.34517835652416,0,0,True
15158.0,999.3462838120872,0.8658745572946418,0.9612207071207582,131.02426147460938,133.90126037597656,15.996927188462536,0,0,True
27388.0,2731.7495295549165,0.504448087230398,0.784924830793952,138.31044006347656,63.64707946777344,39.26977632954696,1,1,True
12731.0,1263.4844148224613,0.6082947106885184,0.921411886611504,139.39749145507812,152.2548065185547,38.163283908956686,1,0,False
20388.0,1092.233585439879,0.7940489172768344,0.9470730204103196,141.72805786132812,127.2139129638672,34.900286966992475,0,0,True
12840.0,682.5929291125633,0.9023190442726634,0.9578710549700172,131.12908935546875,126.58485412597656,50.34619392456254,1,1,True
